year,month,average
2301,8,1472.087992
2301,9,1474.568642
2301,10,1479.544592
2301,11,1484.070712
2301,12,1486.69248
2302,1,1487.99732
2302,2,1488.276054
2302,3,1487.947286
2302,4,1486.89326
2302,5,1483.505338
2302,6,1477.303929
2302,7,1472.212376
2302,8,1471.469626
2302,9,1473.949661
2302,10,1478.924859
2302,11,1483.450237
2302,12,1486.071493
2303,1,1487.376017
2303,2,1487.654655
2303,3,1487.325995
2303,4,1486.272284
2303,5,1482.885052
2303,6,1476.68464
2303,7,1471.59362
2303,8,1470.850701
2303,9,1473.330565
2303,10,1478.3055
2303,11,1482.830621
2303,12,1485.451792
2304,1,1486.75632
2304,2,1487.035025
2304,3,1486.706434
2304,4,1485.652805
2304,5,1482.265876
2304,6,1476.065959
2304,7,1470.974895
2304,8,1470.231196
2304,9,1472.710281
2304,10,1477.684388
2304,11,1482.208768
2304,12,1484.829494
2305,1,1486.133826
2305,2,1486.412599
2305,3,1486.084313
2305,4,1485.031225
2305,5,1481.645232
2305,6,1475.446567
2305,7,1470.356295
2305,8,1469.612674
2305,9,1472.091817
2305,10,1477.065859
2305,11,1481.590142
2305,12,1484.210893
2306,1,1485.515278
2306,2,1485.794098
2306,3,1485.465779
2306,4,1484.412589
2306,5,1481.026649
2306,6,1474.82818
2306,7,1469.737534
2306,8,1468.99279
2306,9,1471.470813
2306,10,1476.443709
2306,11,1480.96697
2306,12,1483.587051
2307,1,1484.891088
2307,2,1485.169913
2307,3,1484.841946
2307,4,1483.789465
2307,5,1480.404747
2307,6,1474.207931
2307,7,1469.118581
2307,8,1468.374524
2307,9,1470.853309
2307,10,1475.826933
2307,11,1480.350972
2307,12,1482.972032
2308,1,1484.277148
2308,2,1484.557111
2308,3,1484.230263
2308,4,1483.178861
2308,5,1479.795361
2308,6,1473.59984
2308,7,1468.511107
2308,8,1467.766757
2308,9,1470.245046
2308,10,1475.217892
2308,11,1479.740975
2308,12,1482.361079
2309,1,1483.665164
2309,2,1483.944003
2309,3,1483.615882
2309,4,1482.563082
2309,5,1479.178311
2309,6,1472.981675
2309,7,1467.891308
2309,8,1467.144662
2309,9,1469.620786
2309,10,1474.591604
2309,11,1479.112986
2309,12,1481.731978
2310,1,1483.035551
2310,2,1483.314546
2310,3,1482.987282
2310,4,1481.936072
2310,5,1478.553713
2310,6,1472.360139
2310,7,1467.272614
2310,8,1466.528249
2310,9,1469.006686
2310,10,1473.979658
2310,11,1478.503027
2310,12,1481.123904
2311,1,1482.429071
2311,2,1482.709241
2311,3,1482.382566
2311,4,1481.331291
2311,5,1477.948489
2311,6,1471.754172
2311,7,1466.664983
2311,8,1465.91794
2311,9,1468.39353
2311,10,1473.363537
2311,11,1477.884071
2311,12,1480.502551
2312,1,1481.805822
2312,2,1482.084717
2312,3,1481.75747
2312,4,1480.706422
2312,5,1477.32477
2312,6,1471.132368
2312,7,1466.045004
2312,8,1465.299367
2312,9,1467.776549
2312,10,1472.748157
2312,11,1477.270304
2312,12,1479.89049
2313,1,1481.195384
2313,2,1481.475702
2313,3,1481.149525
2313,4,1480.099113
2313,5,1476.717879
2313,6,1470.525702
2313,7,1465.437701
2313,8,1464.690421
2313,9,1467.165743
2313,10,1472.135278
2313,11,1476.655332
2313,12,1479.273662
2314,1,1480.576949
2314,2,1480.855975
2314,3,1480.528855
2314,4,1479.477919
2314,5,1476.096769
2314,6,1469.905213
2314,7,1464.817595
2314,8,1464.070218
2314,9,1466.545651
2314,10,1471.515409
2314,11,1476.035887
2314,12,1478.655002
2315,1,1479.959345
2315,2,1480.239664
2315,3,1479.914005
2315,4,1478.864678
2315,5,1475.485442
2315,6,1469.29602
2315,7,1464.209979
2315,8,1463.463367
2315,9,1465.939431
2315,10,1470.909582
2315,11,1475.430293
2315,12,1478.049635
2316,1,1479.354096
2316,2,1479.634383
2316,3,1479.308462
2316,4,1478.258619
2316,5,1474.87882
2316,6,1468.688805
2316,7,1463.601463
2316,8,1462.852695
2316,9,1465.326526
2316,10,1470.294363
2316,11,1474.812863
2316,12,1477.430347
2317,1,1478.733307
2317,2,1479.012511
2317,3,1478.685948
2317,4,1477.635972
2317,5,1474.256743
2317,6,1468.067899
2317,7,1462.981532
2317,8,1462.233267
2317,9,1464.707787
2317,10,1469.676375
2317,11,1474.195746
2317,12,1476.814353
2318,1,1478.118565
2318,2,1478.399089
2318,3,1478.073815
2318,4,1477.025049
2318,5,1473.647115
2318,6,1467.459619
2318,7,1462.373931
2318,8,1461.62548
2318,9,1464.099678
2318,10,1469.067758
2318,11,1473.58657
2318,12,1476.204771
2319,1,1477.508687
2319,2,1477.789036
2319,3,1477.463685
2319,4,1476.414965
2319,5,1473.037397
2319,6,1466.850538
2319,7,1461.765016
2319,8,1461.016041
2319,9,1463.489733
2319,10,1468.457255
2319,11,1472.975569
2319,12,1475.593517
2320,1,1476.897359
2320,2,1477.177802
2320,3,1476.852671
2320,4,1475.8043
2320,5,1472.427392
2320,6,1466.241451
2320,7,1461.156356
2320,8,1460.407093
2320,9,1462.880486
2320,10,1467.84762
2320,11,1472.365566
2320,12,1474.983343
2321,1,1476.287137
2321,2,1476.567645
2321,3,1476.242639
2321,4,1475.194453
2321,5,1471.817972
2321,6,1465.632661
2321,7,1460.547671
2321,8,1459.797785
2321,9,1462.270545
2321,10,1467.236978
2321,11,1471.754282
2321,12,1474.371672
2322,1,1475.675282
2322,2,1475.955812
2322,3,1475.631002
2322,4,1474.583205
2322,5,1471.207496
2322,6,1465.023273
2322,7,1459.938925
2322,8,1459.188995
2322,9,1461.66171
2322,10,1466.628004
2322,11,1471.145166
2322,12,1473.762571
2323,1,1475.066267
2323,2,1475.346921
2323,3,1475.02221
2323,4,1473.974465
2323,5,1470.598935
2323,6,1464.414994
2323,7,1459.330335
2323,8,1458.579322
2323,9,1461.050931
2323,10,1466.016064
2323,11,1470.532165
2323,12,1473.148832
2324,1,1474.452088
2324,2,1474.732634
2324,3,1474.40814
2324,4,1473.360986
2324,5,1469.986632
2324,6,1463.804377
2324,7,1458.721124
2324,8,1457.970971
2324,9,1460.443545
2324,10,1465.409632
2324,11,1469.926733
2324,12,1472.54458
2325,1,1473.849081
2325,2,1474.130877
2325,3,1473.807543
2325,4,1472.761413
2325,5,1469.388085
2325,6,1463.206814
