location,Latitude,SunInclination,Altitude
1722,52.125356,-4,10
1723,52.125096,-4,10
1725,52.112386,-4,10
1726,52.136181,-4,10
1727,52.09242,-4,10
1731,52.102398,-4,10
1732,52.09758,-4,10
1733,52.118003,-4,10
1734,52.096914,-4,10
1735,52.143094,-4,10
1737,52.135517,-4,10
1738,52.123085,-4,10
1741,52.132355,-4,10
1742,52.135215,-4,10
1743,52.119264,-4,10
1744,52.122904,-4,10
1746,52.128535,-4,10
1747,52.127595,-4,10
1752,52.135051,-4,10
1753,52.126173,-4,10
1757,52.140353,-4,10
1758,52.138003,-4,10
1759,52.147442,-4,10
1761,52.165822,-4,10
1764,52.116924,-4,10
1765,52.146737,-4,10
1766,52.12025,-4,10
1767,52.138664,-4,10
1769,52.13376,-4,10
1770,52.151428,-4,10
1771,52.150739,-4,10
1772,52.125821,-4,10
1773,52.115845,-4,10
1775,52.133453,-4,10
1777,52.090012,-4,10
1780,52.096616,-4,10
1781,52.104134,-4,10
1789,52.058944,-4,10
1790,52.073528,-4,10
1791,52.070334,-4,10
1795,52.037357,-4,10
1797,52.03928,-4,10
1798,52.0323,-4,10
1799,52.029992,-4,10
1800,52.029995,-4,10
1801,52.039198,-4,10
1802,52.061312,-4,10
1803,52.070833,-4,10
1805,52.040424,-4,10
1806,52.042076,-4,10
1807,52.050782,-4,10
1808,52.068738,-4,10
1810,52.075804,-4,10
1811,52.078755,-4,10
1812,52.074119,-4,10
1815,52.057059,-4,10
1818,52.064298,-4,10
1819,52.0726,-4,10
1821,52.094791,-4,10
1822,52.052956,-4,10
1824,52.06125,-4,10
1825,52.086798,-4,10
1826,52.055174,-4,10
1828,52.092766,-4,10
1831,52.077438,-4,10
1832,52.0668,-4,10
1833,52.088171,-4,10
1834,52.066865,-4,10
1835,52.072861,-4,10
1837,52.063867,-4,10
1842,52.041331,-4,10
1847,52.051371,-4,10
1850,52.036158,-4,10
1854,52.020945,-4,10
1864,51.972805,-4,10
1865,51.975869,-4,10
1866,51.956489,-4,10
1868,51.96894,-4,10
1869,51.962167,-4,10
1870,51.961883,-4,10
1872,51.988888,-4,10
1874,51.988624,-4,10
1876,51.979363,-4,10
1877,51.989297,-4,10
1878,51.978279,-4,10
1881,51.994311,-4,10
1882,51.977393,-4,10
1886,51.985691,-4,10
1887,51.991428,-4,10
1888,51.978942,-4,10
1889,52.013794,-4,10
1890,52.000939,-4,10
1891,51.985953,-4,10
1893,51.997274,-4,10
1894,52.006218,-4,10
1895,51.998784,-4,10
1896,52.000572,-4,10
1897,51.984719,-4,10
1899,51.989495,-4,10
1900,52.015271,-4,10
1901,51.987133,-4,10
1902,51.985754,-4,10
1903,51.987645,-4,10
1904,52.003508,-4,10
1905,52.002504,-4,10
1907,51.966832,-4,10
1908,51.9746,-4,10
1909,51.985163,-4,10
1912,51.979241,-4,10
1914,51.948673,-4,10
1916,51.965169,-4,10
1917,51.968842,-4,10
1918,51.940963,-4,10
1923,51.926788,-4,10
1924,51.946463,-4,10
1926,51.941378,-4,10
1927,51.92868,-4,10
1930,51.906881,-4,10
1931,51.905677,-4,10
1933,51.879646,-4,10
1934,51.885297,-4,10
1936,51.886464,-4,10
1937,51.885788,-4,10
1938,51.883126,-4,10
1941,51.876721,-4,10
1942,51.914536,-4,10
1943,51.897048,-4,10
1944,51.917717,-4,10
1945,51.896248,-4,10
1946,51.928578,-4,10
1947,51.908644,-4,10
1948,51.910294,-4,10
1949,51.911162,-4,10
1951,51.930813,-4,10
1952,51.906851,-4,10
1955,51.916698,-4,10
1957,51.912665,-4,10
1962,51.927481,-4,10
1967,51.937396,-4,10
1969,51.91618,-4,10
1970,51.905543,-4,10
1971,51.913539,-4,10
1972,51.947756,-4,10
1973,51.93078,-4,10
1974,51.946859,-4,10
1975,51.922032,-4,10
1976,51.896232,-4,10
1978,51.928516,-4,10
1980,51.899864,-4,10
1982,51.890221,-4,10
1983,51.930262,-4,10
1984,51.913717,-4,10
1986,51.875864,-4,10
1988,51.885489,-4,10
1990,51.899745,-4,10
1992,51.88895,-4,10
1993,51.872574,-4,10
1994,51.861875,-4,10
1997,51.85266,-4,10
2001,51.845069,-4,10
2004,51.765348,-4,10
2005,51.807687,-4,10
2006,51.782302,-4,10
2007,51.794502,-4,10
2008,51.789087,-4,10
2009,51.805307,-4,10
2010,51.802279,-4,10
2011,51.798452,-4,10
2012,51.836528,-4,10
2013,51.796406,-4,10
2014,51.814065,-4,10
2015,51.838983,-4,10
2016,51.82445,-4,10
2017,51.825185,-4,10
2018,51.816618,-4,10
2020,51.828648,-4,10
2022,51.834342,-4,10
2023,51.857019,-4,10
2026,51.87103,-4,10
2027,51.865659,-4,10
2030,51.827794,-4,10
2031,51.84853,-4,10
2032,51.829963,-4,10
2034,51.879309,-4,10
2037,51.868772,-4,10
2046,51.845482,-4,10
2047,51.839701,-4,10
2048,51.870638,-4,10
2049,51.841316,-4,10
2050,51.848964,-4,10
2051,51.859988,-4,10
2052,51.865834,-4,10
2053,51.831092,-4,10
2054,51.833847,-4,10
2055,51.820534,-4,10
2056,51.849738,-4,10
2060,51.826979,-4,10
2062,51.839728,-4,10
2063,51.843115,-4,10
2064,51.797317,-4,10
2065,51.80079,-4,10
2066,51.824604,-4,10
2071,51.808802,-4,10
2072,51.807397,-4,10
2075,51.786724,-4,10
2077,51.784219,-4,10
2078,51.757657,-4,10
2079,51.742671,-4,10
2080,51.728094,-4,10
2081,51.720383,-4,10
2082,51.73594,-4,10
2083,51.723669,-4,10
2084,51.732397,-4,10
2085,51.739766,-4,10
2086,51.745403,-4,10
2087,51.741615,-4,10
2092,51.748642,-4,10
2093,51.755426,-4,10
2094,51.778822,-4,10
2095,51.76604,-4,10
2096,51.76026,-4,10
2097,51.788656,-4,10
2098,51.755429,-4,10
2099,51.783374,-4,10
2100,51.78881,-4,10
2101,51.753446,-4,10
2107,51.773635,-4,10
2110,51.797847,-4,10
2111,51.789896,-4,10
2112,51.778914,-4,10
2113,51.780588,-4,10
2114,51.762389,-4,10
2120,51.763524,-4,10
2122,51.762888,-4,10
2123,51.800688,-4,10
2124,51.76432,-4,10
2125,51.791375,-4,10
2126,51.78005,-4,10
2127,51.757797,-4,10
2128,51.775761,-4,10
2129,51.783647,-4,10
2130,51.754955,-4,10
2131,51.789347,-4,10
2134,51.756546,-4,10
2136,51.747567,-4,10
2138,51.726235,-4,10
2139,51.737307,-4,10
2142,51.733464,-4,10
2144,51.715152,-4,10
2146,51.725006,-4,10
2148,51.700598,-4,10
2152,51.67256,-4,10
2155,51.656711,-4,10
2157,51.652649,-4,10
2158,51.653291,-4,10
2159,51.673149,-4,10
2164,51.695262,-4,10
2165,51.686779,-4,10
2166,51.665918,-4,10
2169,51.682568,-4,10
2170,51.712289,-4,10
2171,51.71359,-4,10
2172,51.707856,-4,10
2173,51.713399,-4,10
2174,51.716152,-4,10
2175,51.685239,-4,10
2179,51.730978,-4,10
2181,51.690761,-4,10
2182,51.707653,-4,10
2185,51.720404,-4,10
2186,51.699403,-4,10
2188,51.701278,-4,10
2193,51.725719,-4,10
2199,51.719493,-4,10
