location,Latitude,SunInclination,Altitude
1755,49.5462564828548,-4,10
1756,53.83461250429239,-4,10
1757,48.09123739943764,-4,10
1758,50.01004547530392,-4,10
1759,47.861793526657344,-4,10
1760,53.35654240824656,-4,10
1761,48.227596098560575,-4,10
1762,52.06834548575304,-4,10
1763,54.289818109139546,-4,10
1764,52.52355623971269,-4,10
1765,50.78271881468238,-4,10
1766,52.87967217810503,-4,10
1767,54.00501687691262,-4,10
1768,52.23454147792083,-4,10
1769,54.28291324672993,-4,10
1770,51.59114876457158,-4,10
1771,51.96606858439472,-4,10
1772,53.77976455289896,-4,10
1773,50.926336418846375,-4,10
1774,51.89152646681561,-4,10
1775,52.20414163547939,-4,10
1776,52.81780898511893,-4,10
1777,49.21183861355013,-4,10
1778,51.86124114921918,-4,10
1779,50.89744957283133,-4,10
1780,53.62346757683698,-4,10
1781,50.68205674525237,-4,10
1782,49.512594519024894,-4,10
1783,53.04344754612968,-4,10
1784,50.965515976393135,-4,10
1785,52.95131406981723,-4,10
1786,49.307987435379495,-4,10
1787,48.200604326469154,-4,10
1788,53.88882657231691,-4,10
1789,51.4143462851359,-4,10
1790,50.67725685198434,-4,10
1791,48.56323225317569,-4,10
1792,53.65240621803801,-4,10
1793,53.26178749526096,-4,10
1794,52.3550336005242,-4,10
1795,50.10733759244877,-4,10
1796,53.29797338450828,-4,10
1797,52.57875599430607,-4,10
1798,48.962069832107936,-4,10
1799,48.82155949114324,-4,10
1800,52.29090058546509,-4,10
1801,51.95507613177258,-4,10
1802,51.75699698745229,-4,10
1803,50.11187443680076,-4,10
1804,52.812394541415685,-4,10
1805,48.59207608195611,-4,10
1806,51.68349775393982,-4,10
1807,48.49584499207794,-4,10
1808,48.10791605059404,-4,10
1809,48.819888406435325,-4,10
1810,52.11352129896604,-4,10
1811,52.97743916210965,-4,10
1812,50.22992191193285,-4,10
1813,48.01542369078775,-4,10
1814,51.222139934510494,-4,10
1815,53.895419074685925,-4,10
1816,53.3743766621046,-4,10
1817,51.48357271244153,-4,10
1818,50.88761449981672,-4,10
1819,50.97091757998955,-4,10
1820,51.23428366216372,-4,10
1821,48.07064028744392,-4,10
1822,50.46129436920945,-4,10
1823,48.28960238855317,-4,10
1824,53.63277609871325,-4,10
1825,50.332305232116816,-4,10
1826,53.97364939033156,-4,10
1827,52.89221899591311,-4,10
1828,53.39220757010008,-4,10
