PointID,NUTS_ID,NUTS_NAME,STATE_NAME,Latitude,Longitude,nearest_grid_id,nearest_latitude,nearest_longitude,distance_deg
83,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.372827,9.636256,C418R72,54.37,9.64,0.004691424623718011
84,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.393189,9.802282,C434R70,54.39,9.8,0.003921383046833106
85,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.377871,9.920393,C446R71,54.379999999999995,9.92,0.0021649688219430936
86,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.37514,10.037334,C458R71,54.379999999999995,10.04,0.005543208096394739
87,DEF0A,Plön,Schleswig-Holstein,54.394091,10.316302,C486R72,54.37,10.32,0.024373171418596132
88,DEF0A,Plön,Schleswig-Holstein,54.355046,10.420463,C496R73,54.36,10.42,0.004975588909865759
89,DEF0A,Plön,Schleswig-Holstein,54.366726,10.581616,C512R76,54.33,10.58,0.0367615360397266
91,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.356289,12.779384,C732R75,54.339999999999996,12.780000000000001,0.01630064345355776
92,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.321723,12.883567,C742R77,54.31999999999999,12.879999999999999,0.003961340429705724
93,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.327045,13.012618,C755R76,54.33,13.01,0.003947904380807657
95,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.34088,13.257902,C780R75,54.339999999999996,13.26,0.0022750832951794414
96,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.306334,13.337009,C788R75,54.339999999999996,13.34,0.03379860406880397
98,DEF07,Nordfriesland,Schleswig-Holstein,54.300791,8.776883,C332R76,54.33,8.780000000000001,0.02937484246766443
100,DEF05,Dithmarschen,Schleswig-Holstein,54.291085,9.052803,C359R80,54.29,9.05,0.003005666980889243
101,DEF05,Dithmarschen,Schleswig-Holstein,54.307946,9.168467,C371R78,54.309999999999995,9.17,0.0025630070230056087
102,DEF05,Dithmarschen,Schleswig-Holstein,54.291932,9.272269,C381R80,54.29,9.27,0.00298009815274837
104,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.316287,9.552039,C409R77,54.31999999999999,9.55,0.004236022898891042
106,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.30721,9.832422,C437R78,54.309999999999995,9.83,0.003694615541566122
107,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.298129,9.940492,C448R79,54.3,9.940000000000001,0.0019346071952667117
112,DEF0A,Plön,Schleswig-Holstein,54.304471,10.534711,C507R79,54.3,10.530000000000001,0.006494871977183805
